1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,https://image.tmdb.org/t/p/w200//uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg
2,Jumanji (1995),Adventure|Children|Fantasy,https://image.tmdb.org/t/p/w200//jyw8VKYEiM1UDzPB7NsisUgBeJ8.jpg
3,Grumpier Old Men (1995),Comedy|Romance,https://image.tmdb.org/t/p/w200//1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg
4,Waiting to Exhale (1995),Comedy|Drama|Romance,https://image.tmdb.org/t/p/w200//4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg
5,Father of the Bride Part II (1995),Comedy,https://image.tmdb.org/t/p/w200//rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg
6,Heat (1995),Action|Crime|Thriller,https://image.tmdb.org/t/p/w200//obpPQskaVpSiC9RcJRB6iWDTCXS.jpg
7,Sabrina (1995),Comedy|Romance,https://image.tmdb.org/t/p/w200//iIJKh3Vhsjfhlq8zTu0RWdq59I4.jpg
8,Tom and Huck (1995),Adventure|Children,https://image.tmdb.org/t/p/w200//vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg
9,Sudden Death (1995),Action,https://image.tmdb.org/t/p/w200//1pylO6YX5XdOA6QCc5IRxrrffkg.jpg
10,GoldenEye (1995),Action|Adventure|Thriller,https://image.tmdb.org/t/p/w200//bFzjdy6ucvNlXmJwoSoYfufV6lP.jpg
12,Dracula: Dead and Loving It (1995),Comedy|Horror,https://image.tmdb.org/t/p/w200//4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg
13,Balto (1995),Adventure|Animation|Children,https://image.tmdb.org/t/p/w200//dCVcdb5oxDizqFLz0F7TE60NoC9.jpg
14,Nixon (1995),Drama,https://image.tmdb.org/t/p/w200//ORlTkdDwWU94O16MlwfIR4g5Hk.jpg
15,Cutthroat Island (1995),Action|Adventure|Romance,https://image.tmdb.org/t/p/w200//hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg
16,Casino (1995),Crime|Drama,https://image.tmdb.org/t/p/w200//8Gv1dylImVuoj3bZtEWoL1TLl2q.jpg
17,Sense and Sensibility (1995),Drama|Romance,https://image.tmdb.org/t/p/w200//cBK2yL3HqhFvIVd7lLtazWlRZPR.jpg
18,Four Rooms (1995),Comedy,https://image.tmdb.org/t/p/w200//75aHn1NOYXh4M7L5shoeQ6NGykP.jpg
